totalStaked:  38473180
Wallet;Ticket;Staked;Start;End;
7SW1cJU3e1RBKax2vUFSPTw45kBWhup2AfAfiw9iyado;iAWeLoCJCpPV1Y4oqY3RAmCd5d7rzwdvBQDLsaoYknP;976053;1647684800;1647830453;
8XTh331chjUCxHnM4gSJmH8qdq5J8q4UBENrSZTX1JEK;2WBGDBizTwUuZeLRVgdZTB2ssugupVwkGSoHKZYvC2yr;1643764;1645149365;1654524405;
G3ePxCnP4SPrP3ckBag85H7g35oNaTrc1tya8MVwjM8u;2vjqHAFs3VTVbHjPJK6CHTB3tcPTQ3xas7yBPPs3B36r;24378218;1643221163;1643237200;
G3ePxCnP4SPrP3ckBag85H7g35oNaTrc1tya8MVwjM8u;DLzJY8CLx4ogMoJWzUatLuQehqVjHHWrj1P2mX37BSxU;3711141;1642696183;1642744128;
Bp5Xh8ELbXFrtdLGXeEqpbo78gSEY5zF45fqkz5sQdWC;BmsxNoEAJFnwuqehpsWBebWJC7tnNrjiMbyZNr2y97kR;163601;1649774953;1649793909;
J8aENLFLcaBqESNeUoGyzNGakyNKQpQfmotar2KBEF6M;7FGgWVFZtsfGdUGVunP2HiCeYqf4g41RXDARBgizZkeN;719434;1645190347;1645278809;
Ch3gvp1tMU6P583mMjARvgSn24uvz3FPpUJeLPBpA8TC;FKyQmsceE4G7CexbVZweZZzjopvvncqZwbwAwcBpdPfy;35577;1642959907;1643193351;
BnGt7pewVh4FVT5PmPGFKTEtNgQVivFUAPHLdXNpEXQp;6zG5jjS1b5VJPX9avhU87RuRYj89jzh2tGz5tzuvn89Q;112941;1653039835;1653069355;
CXU2975ZsJqsUevVueTCqdu7m7sRi6rGm7LTRNEHYCxb;FeggfMxJxWVZa5X397msyMehZa9LxKTHcKk2HVXT6BV6;268077;1649224439;1649486967;
FBepXbahkGAfAja6wpGUhUAVnhkiD9rWxS2E7gK9stnf;35VR4ei3wJihW8ac6Yz6dcigtjtiXkuFePJWVke2BmCr;4046779;1647665168;1648119668;
AnGajWfHRiNH2dzXqgaQ8XkajyCNRPyNguFUuCV8Y8j6;7d6aAGCwGro8Rv5tjYKbogNTHKQWzRVAuz67hiStS7PD;3729130;1650071887;1650080280;
Am7YEk6MKE2mA1otWYGbCBh5ppdk7ePvL7Hk1YEttLLP;9GZwBA8zazN8mBgnYGo1VsahSyfYenjpqsAMXdXoJsVT;9941881;1644881291;1644973441;
6jnQy8bdPZkxhcpAtGRTqaSJt9DBjAp6pqoyDoGDcDF9;9mw9SbbCRBivoWvXtsExHGQdwJnRfEDtZE6CV9AVRFcb;1100100;1649542852;1654524405;
GGzug8otNSvpgrHzf1AXLWfxWsUeyv24HSTYFTLsrrKK;HHoUq8dUMsVYnrSLAuDhCMmKEdqWxzXVmiRfitY3EFVm;9552684;1645642279;1645654751;
7Kf6xEXKfazhaa4zZZA3VSCBU2V9ziMAButri3HFzqyN;4BhRpm3fjXhBR5TWWxcxoNKUtegogS54FPGHbJHk6c91;5176073;1646130687;1646564405;
Ch3gvp1tMU6P583mMjARvgSn24uvz3FPpUJeLPBpA8TC;6szCeG3NwZbHqi3UMv4iq1CcUoUbVzjcFrf2EaKeehgg;131972;1646321932;1646414339;
GPLDHxNgD6j1gmxnVPrW6ocVGWCznjBA4H8nUTs8x8a5;DeTPPppue2FqmXDcQy7TnjWX2x9QN1jnc5cYhM4uuEuG;3324647;1648923435;1649514853;
Go25sV7BnHeZvhbZad1J7r7ZK1pwWi5MDNKwpffS3G8D;4kVP1ja45NL7rS3jcgiigwR1ARtw1GKe6mZPskmH1Hmd;1311194;1646529381;1646626641;
4oa5x6e3kibmSxfoXsnb7fb8B8DmUbJst8yEuS77E91d;GCgRH2ex37ix4ikbFhXwPABq5yib8SivB4wFXYG95WjE;600863;1643077423;1645502926;
D43cUzc97Leo98P5wepPPmMz7sTc2YN31XzxMxeWFiaK;5fTKsGhibmUCw1DS2ynZyUFHmKxuSjC4so5iy6vPjcwk;7145698;1646434776;1646610198;
858QLP2c31yAZprh31gr4QZ44u18FjBvX3NAeCVYMUcV;5esmA1vSxJUysMoyyWtN9HCA26UtF3TQUTxaYwJyRy7L;25640559;1644803190;1644872900;
A3rzsKFr9j1HakgkKugcaVSMJ227nGEjTnU6WHJqWdYU;9For8UHS7namjXiWWFob2x9rq5iaL6GVXYAMkfsEaxBU;46209;1642984636;1643062687;
93RFwKFrYSvXaFwZrYHbxPQuVpZ7bnxdKz6dVPzg4xcj;6oWtNydKVRa9zEbEVkTc1fbX5sNXepvUKiGtWtbZv7an;10444804;1644796953;1644809888;
79MYT6b17gX42G64ziVt4Y4nfyLkPxmFa3DhnTQva8ky;BRHUhbQAGfRyqJx9THvmbHeqQHDRkjrAK1s53SZqeB76;1119805;1648268475;1648527763;
9QvuHmtTJHUYXUdH2wzqjGn4FtFhhzTwPqnT9XtMCnfS;FsPXvcgYbpbwBEWHcQAvKvcEszFSbHyydAvNjgN9YLbN;125755;1653073668;1653172999;
Go25sV7BnHeZvhbZad1J7r7ZK1pwWi5MDNKwpffS3G8D;BRSLVuLxUWxKYpdoyVkNwd8RQMLm3gx27mTrFkXaVCV5;1213799;1645924446;1646529381;
4CPub5SfDT1pbGrpeYCG85XwCUD1xF9GRnDG5NwbwRku;6QbRZ2MitsSxXFCaiFkjcW7Q1VCqYZh3Xe2NdikeiJh;5365656;1644655514;1645213270;
B9R2RCmZHXgySe8NSTUKF6RwTpGiTegisn2speNs3iHW;HhExv5BiJSaeyZTE7ZcRQKwnP3eQ3kKRFJQzpNW4S8bS;2320272;1642440570;1642599288;
TwXSup66FoMGQpsDcB2TVBZmgXAA6cYGoLKMQXAxAc1;F9TUoEhRix88KwxtV62rjRWm9pqScvu6QVXkThpTFAd;339544;1644053018;1644329049;
Am7YEk6MKE2mA1otWYGbCBh5ppdk7ePvL7Hk1YEttLLP;9Gjj6bfe7HBahRU6u8NUtyCMvWHnwjCukwRTFNcTCrwv;5168779;1645239590;1645421683;
7cxPNC8s3GNPdvuymCQyQQB5jYeMPx6f9jU9kNVZphQy;Cw9EgdgZDzDPrAYnxbsrtSpvDRxCcrDdAc65iHsJQGRA;13381559;1644798414;1645048913;
GGzug8otNSvpgrHzf1AXLWfxWsUeyv24HSTYFTLsrrKK;2SL9qkpxdnr8My8gPWnURGJRXsYAWfMb8KSY6wSkXHFD;4491675;1644789571;1644882556;
D43cUzc97Leo98P5wepPPmMz7sTc2YN31XzxMxeWFiaK;8qZban13hTnZSbmgqbBZ7Gqo5MRU9fHGVQMsPUcL4pn6;8093817;1646423384;1646432044;
ZwrTtVXSy3hvYHyVo19735RwVXks2cDgiC3BzsjdnnF;J9aw6a2ZFAJ2hb3KTh1asrgAB6cccqg8BY4RmWoToHmv;6474992;1645895164;1647046783;
858QLP2c31yAZprh31gr4QZ44u18FjBvX3NAeCVYMUcV;5fwNZxY2aFSokA8Cg1o8DCZiNU5v1PV2HzrWHAkDH3uD;21530668;1644243863;1644343502;
Gf4Dn1MnmkNEXLQwfYkcXwF7JsoihMfU2yzNWxFDhFZ5;8jpsKnfLdje8pG9acAUGbdtujSPnTgEkraswmc8LKKCd;216251;1649107604;1650393569;
FBepXbahkGAfAja6wpGUhUAVnhkiD9rWxS2E7gK9stnf;DrF7dwDHUsz39vrFx8v9idj19sqdGr51YSia8LZyiWS8;1209441;1646071619;1646645380;
CBJ6spXXN3LJ9v3LqvVG1bbKe1YVvA654aQrKHbihs23;HvBn8GdzYiG8vdTDe3V5fTrMpPTi3BRVdsh8x5EXCNCv;5410561;1645046364;1645145833;
J9qvegTfZg5s8fhmbdpDKovWQuoMwVgFrFqkHVbZFNF6;5NLY6AVHKb4GPF9tRW9FWXezMgrB7nJMf4j227kic14E;340064;1645850340;1646503067;
FBepXbahkGAfAja6wpGUhUAVnhkiD9rWxS2E7gK9stnf;EgzA8WfPJ65m7fcuouFiuTLTcRjMR3cJ9RcUDtr3CANh;1222050;1644990952;1645052454;
5Hw3iyu9YKNx3vCTwZ5DjVNQYvagAeZkm723k3HdC9jC;H8EEJKf8z4rpXrPREXa3b8pwA5bjiTMUaEWg8Jq5XM9b;406806;1645391589;1645501374;
G3ePxCnP4SPrP3ckBag85H7g35oNaTrc1tya8MVwjM8u;FLxB7EM4BSb47nREz1cW4fApRWCGpFTB4TYT61fDNTaX;24013789;1643149602;1643181661;
8ve8kEXP1VaJKhjk24YRgaVj63heJpNUxSJR1TXXC2t2;A2M72NngDcjBRp8dyW7EPMSKVxbUj2oDdrSac2HY6HuY;951662;1647473403;1648338272;
FGG6DRFXMYpExNYP1eV9HcdaMd6Yk4rVKdqCwKnsLHhc;97ypLwiyrAKCtjbeDhQ6XejtcFFkeab3bhNGaMRbc7Qn;1262495;1645570265;1645737582;
Go25sV7BnHeZvhbZad1J7r7ZK1pwWi5MDNKwpffS3G8D;FCzMznqGds9kKfSayTU1NxvQvz86pLrQsRREMdLmaYMP;799499;1650731228;1650932598;
9E3VTjypJLGukcWEramvBai3X1HpyAu18Kvorn1BAXaQ;EdM1f4DpPpAmwuVAXPGo9jsP4Fque4NqA1RDDepCxVcs;24539;1648910244;1649080159;
