totalStaked;236091258
Wallet;Ticket;Staked;Start;End;
HrNRQbDmQfFc1SXGdvVbDSUKMeyNW6rAZfx8gkJ5SGv1;DBwtPX1W1bCUbLkDsmeujEBcNFVoEZKZjQjNDGTR77kh;25386621;1642445727;1642499937;
HGDt2fsgoetdNKdaKBtoSfdPDHon4bfbfRqMgKxW8jeK;GQ5n5GyfDvPNXN6z89pZk4immkjkMRizTvFu6P6fM5rt;16083463;1642450526;1642597722;
9hgANfc45PGeb6W1F1ytDdHyF5XH3pnAU1NxknV3aqys;BkkLrB1uRUcvxvJNwbDcxNg31zZDin7tuudU9efZgvjP;52501080;1642503012;1643838613;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;BNYdpx6tgGZJqUQe15GXsTuB6qMKZefp3vi2RFQZecb8;36932332;1643573015;1643840234;
5fBrXFfhtt8XpadJdufS52BtjDL782fVRAYvH68Qec9p;B9G6nspRSDXwZqJDyuNeswB16jy1XyAMoZUc77BHdk9B;22436008;1644223584;1644304917;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;AbHQp2puVZA3GxwHR8ReZB16feMorrnrvYBjzU95Tu4x;41280112;1650402157;1652212571;
3izmGyCTqkfGUhp7QMqpfFqUN5mtFcK2sNsD4Z15z1Cf;Bbnp6vzRsnJe1n4bEiBB7vPKwdz9MDyUcBySwpZfxNno;5393255;1642181080;1642200246;
7XnbDYCiAG6NaWfu81386HUZ9hFk399bPw49iAiTetD;BTH2b1YnZGeNTpBhaSEyDXDzBYzJRkxT3mBEH5rmUFeg;189031230;1649750932;1652291962;
5fBrXFfhtt8XpadJdufS52BtjDL782fVRAYvH68Qec9p;EJSGA4P9qt2m8bNBRLX7g2kMrQFVKFrhrWfqdokwx8zd;23010382;1645000049;1645084474;
54ocziyqX54CEfwu5JuVB9EaVCeb6mCGgUHAsz612RBx;FCUSBrgssiPXwP3yj3H2XsDt4uwEynqmSq8v92r4VjcC;4984969;1642445959;1645801782;
Cb5mZjGVrQTjbSsCZJ8njMGjHwUQJbSP8GfiDWsz36nS;36J85Sq2WmbAddgu4i5XDqLax5MKDkePpyWDYTPDMp8f;79384563;1645547074;1647229359;
5fBrXFfhtt8XpadJdufS52BtjDL782fVRAYvH68Qec9p;zvmDg3tVgj7hE8spxcabzgtDo5BwRhHXMxVD3CDMnU3;22498205;1644304917;1644411596;
7XnbDYCiAG6NaWfu81386HUZ9hFk399bPw49iAiTetD;7FN8NwPqdqc1WwffvbeXMtLCKdQeyUtf8oz1BycEsMxH;48450310;1652292809;1652388737;
8wE2TcczWTdifutuT53y3XtkgzEneEnVVmgkiic8WcgT;2stEaeQMbudkxf2CQqPiTkDY5xu5jgifTgUaTZsfu9ZD;5078440;1646245101;1646252142;
9hgANfc45PGeb6W1F1ytDdHyF5XH3pnAU1NxknV3aqys;2EpkvrzPZQkYrYYyUpHaWaRdMf1bQahpsh9W86353DFs;21317779;1643839084;1646162784;
Cb5mZjGVrQTjbSsCZJ8njMGjHwUQJbSP8GfiDWsz36nS;Gqtoej8koZJzw6urkh2r3dFfLGv9rnu93YYrEogfjFn3;82536647;1647229359;1647861830;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;EuKEyoUkpRLcfS1y2nL7hWj69oFPssfrxH5SbXDeURgM;40741900;1644611512;1645041365;
HDzsrP8bwrHgjtxtadsdfqSCMAWPLNhc3FJnWkSibyKf;GQfTrZncMX25PCB61xGTj4cxj4TiNxs1TvhL9SUxKZGV;24448054;1644525718;1654589941;
BMYLn3tgWcNBFEdnBbEGkL3dt5pi3kbhhgymtYsWCvBD;Caqga2QeHYqWW3oP3wngqrFvuyAJxrqLB5bMGrmNaVtm;16167948;1642455984;1644389728;
9KpAHqQk7UwHS3k6F1NVgn5WMJ8SsD66uP84EXYBAgGb;J7UQ5kwVCGs9qv2PUU6FeqU2uHeKrFGPNTfAo5AeWP6g;52924495;1642444901;1643834950;
5fBrXFfhtt8XpadJdufS52BtjDL782fVRAYvH68Qec9p;DSruAy7R29ZfmpLp12Ym1iqknaoc5Bz1mWCD1BFc7Zw9;23138615;1645181908;1645246748;
7XnbDYCiAG6NaWfu81386HUZ9hFk399bPw49iAiTetD;CrZz4B1F3HTb4ok8WnSUh5PpwJHjQ823AtTc4A1gwPLh;148237884;1642326683;1646833878;
ARC6kF83zjWGC3QmH56Lp7ZER2YkAh75X8UXQAb7wjCz;FMTCPqTAZCFoCwuqWkM4k9AW8caMQvbeev9j3XQfsQBR;104701695;1642603842;1654589941;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;CZXPJTB7umEQj4jP7qUEQNqt5wDT2b3aq2gMmyeyzTzK;41846258;1646501476;1648584706;
5fBrXFfhtt8XpadJdufS52BtjDL782fVRAYvH68Qec9p;HaTZhu89DYeXQjH84zRwsfAnZvRRP1x9suHz19aaCm4t;23644486;1645950087;1646115240;
2FSwLbTNFCHw6CVhxP9npWDQ4rPbHesFp1wnoirUxtJR;GcMqF5cWGgan4Nm6JtR4BAz1VgDGi5F9NUdv36jouKvL;82680334;1642459303;1642936699;
Cb5mZjGVrQTjbSsCZJ8njMGjHwUQJbSP8GfiDWsz36nS;1A4EoCeAhFRAR9AsKNgV8dJZB4dsm5dUFKADw5E9K8X;74380067;1644202725;1645547074;
5fBrXFfhtt8XpadJdufS52BtjDL782fVRAYvH68Qec9p;Dbd3ymwwvT9tR5Fo15hgwmM3PEhFTLrZTUs5nv5wCoud;22827268;1644743985;1644824681;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;ENgPXtD4QqjQCrpovkwQsinncYNtSCnVs2xyDSwMbHDU;32597581;1643055258;1643226909;
9hgANfc45PGeb6W1F1ytDdHyF5XH3pnAU1NxknV3aqys;21EjAAxsUppN7PqhVmMMm3XbgqTK8Rk8tNopB5614ZSv;33654449;1646162784;1647037224;
2kXYgmXmd42qaghytXCSVQcUzr7cV1RWVDy6Movcmb4o;6YCBJerpX8rsEbNTzFX6AHyET7Po8rKDGkymAEXvHHsC;41442583;1642613899;1654589941;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;4DB4j4eivx5Bdgy81fyTnFEh4P9BiuaGvAyQT2Sg4HH8;35440899;1643226909;1643494637;
8wE2TcczWTdifutuT53y3XtkgzEneEnVVmgkiic8WcgT;FjT6iHvjoYL5hdjwsGqyQyU286s4qyCDDnACkzFqH7hJ;37971084;1646401809;1647874936;
68aPVxo7PnETTJ6Zh38LcZaqzkLZLM31ctSmAmJKqLNV;2zihjihitK39NZLurG6PCzM7B8e1EQjSrZ1xHJ8gYohv;53429674;1643729137;1652981492;
BMYLn3tgWcNBFEdnBbEGkL3dt5pi3kbhhgymtYsWCvBD;FQJ4A2jekyjWietWtphFq4fokY7GEUpQA5yeEbGHtGbZ;16167948;1644389874;1646174695;
7XnbDYCiAG6NaWfu81386HUZ9hFk399bPw49iAiTetD;8PyTicZA5baX3NVUDJjidaUfwyyxYmWptqANQj5GPpog;160558497;1646833878;1649750932;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;GunxeJvDDRRMzJ2wNTvMvdGrKxNrZbaUWD9L8DPc7qCk;43878999;1645041365;1645648875;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;8V3zXS2dvLXXt2hZ8WZ9KP3c4iDSYxiXx1sCpr7QVD6R;27742993;1642615320;1642887300;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;EmggEMxmEfzH5KY2h7yuTTA8UHQiB5LPvLkBBAgvaRRt;51541598;1649883122;1650398822;
8wE2TcczWTdifutuT53y3XtkgzEneEnVVmgkiic8WcgT;9qYoFUrYZhieEGdQc3H97MsuteFvycpEHaJEQYG8ZuDx;26062206;1642345343;1643669571;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;GjhhKJrVuGQbDvwLh6Xx6fZ4VJZEubykEdVPGCByBxR2;27357701;1642456144;1642615320;
Cb5mZjGVrQTjbSsCZJ8njMGjHwUQJbSP8GfiDWsz36nS;Cfe93bQcEoPgdBtp9yndSBakdk3duef8QaAsuSSAE9UB;2239871;1644203488;1645547074;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;Cjr2HeExYi4F826XFc4zp8gDj2BLmrrYVTwxWUW11LK7;45689429;1645648875;1646501034;
5fBrXFfhtt8XpadJdufS52BtjDL782fVRAYvH68Qec9p;6hB3dEyZAuV46PwAquopCrdEofaeLSn65ZmW46NjNRbi;22886729;1644824681;1645000049;
5fBrXFfhtt8XpadJdufS52BtjDL782fVRAYvH68Qec9p;5jxtX8mWLbb32Qp9d8GLxbB2j9UEKT4noASCJ3PBPCyS;23757193;1646115240;1646379920;
5fBrXFfhtt8XpadJdufS52BtjDL782fVRAYvH68Qec9p;BWeM56ov2fPHMAG83wCJzK3mjaGAvKY6eCRGioRum2gb;22233346;1643967400;1644223584;
7XnbDYCiAG6NaWfu81386HUZ9hFk399bPw49iAiTetD;cLxMd88edhH82XFDbj7Wax3vg5Z9jJHEre7kBP9GDrH;127319965;1642177717;1642326683;
9ieNGRxmAXHdPWoA7xnYN9mujZCJU5Jmyv4UpWamebDZ;8GbqWitMBkdQqLrfxzc7gVFvXo9NKyi6GGXZHyMRreFn;25798213;1642353550;1643728324;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;84D8QNSCSaYiJFotXQFRH2euSkeArLhF1XtAqzVfRey7;38694837;1643840234;1644359486;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;CNQNHgUrf97B9puA2DGmXzZsDKq4Pc12GdPax7mDCy1M;40074966;1644359486;1644611512;
2FSwLbTNFCHw6CVhxP9npWDQ4rPbHesFp1wnoirUxtJR;6YR3FVzZuMwuzTo373XfUZp18ZYjoiYCPEvVNGL35Txh;84925274;1642936699;1643493383;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;6kaFqmeAW7fBwdDx6Xrox6rRozEFFfGKkAifSccmeg4N;29873483;1642887300;1643055258;
5fBrXFfhtt8XpadJdufS52BtjDL782fVRAYvH68Qec9p;J8NTMHRV83f7VvTw2ueVkHHiZJVSoY3ZG41wNQpoyswo;23184446;1645246748;1645950087;
9hgANfc45PGeb6W1F1ytDdHyF5XH3pnAU1NxknV3aqys;DthS1gXwDEEbfAqtMSG8GuXKG8SbXWp5sfUy78eknyrG;35147660;1647554332;1654589941;
5fBrXFfhtt8XpadJdufS52BtjDL782fVRAYvH68Qec9p;B6uWMaPeuYbgVbCoD7ym5iDVrutaRgWhuJJEmJmWnELJ;22629833;1644476793;1644653280;
5fBrXFfhtt8XpadJdufS52BtjDL782fVRAYvH68Qec9p;3UyMaSsio46rK2yNYbZ2pr8XR6HXhiNbpECtWizveCXz;22760489;1644653280;1644743985;
HGDt2fsgoetdNKdaKBtoSfdPDHon4bfbfRqMgKxW8jeK;5a9mN3UwWR1yzGosBzt7WDC3gBNZYchaTqESBszjvTiE;34426238;1642597722;1642778379;
8wE2TcczWTdifutuT53y3XtkgzEneEnVVmgkiic8WcgT;EmWLjvW3aar2Fuff93mih42ov4ov8ANBAjnmtwCskiwj;2753306;1643670179;1643885297;
HDzsrP8bwrHgjtxtadsdfqSCMAWPLNhc3FJnWkSibyKf;5ZERw2kPkCz87PNimSGG6VoZSHrBHNVGs1mGaMUrgUww;27406037;1642456101;1644525561;
5fBrXFfhtt8XpadJdufS52BtjDL782fVRAYvH68Qec9p;4cJscsQViUjw7te5aExof84LNaqN9hAqWYvzbzvP7aAR;23949250;1646379920;1647847179;
8wE2TcczWTdifutuT53y3XtkgzEneEnVVmgkiic8WcgT;2cVQQrcf4LPisifPQWRjFe9c2U2NDKkhddY3ezowtDPr;31600198;1646244522;1646252142;
TZEKVGeN7a4LH5gSXJaU4nQRAZTnyKEK7ntpa3Yu9gk;47vV55nhMRf9i5zvcEL6vbigLUui2V5o4r6YotxFNnsh;69333670;1652212571;1654515021;
