totalStaked:  489495706
Wallet;Ticket;Staked;Start;End;
3CJ81nqEMmo52rYWzkUX87bAk57FzJrHfVN3o8SyeURn;GmpG2EvFa9cQ3RJZayVeZBtKa8arJAkRZDdoEWCmHSyX;5752636;1649356635;1650055847;
3Q8HypoakvGpypWbknHEM5CY2VWxd6gk1ojSZYLE4nVr;2gQPtx3uGA682EopRzJSzxr5H3bqnsDZdE1iK6ikqVqJ;4621443;1645292012;1645322290;
4ydfVtGgwgKN9SRhJc9Q4igyUTN2YvNbFbXFwHBQMrNd;2nFEKs1LCt4TeaUbJ53oxVu7PVMDVSVoYyf2mqzvXBNY;2134032;1648106812;1648277305;
3Q8HypoakvGpypWbknHEM5CY2VWxd6gk1ojSZYLE4nVr;8wfcbC3iVYucCaj7u49pDb1DpqwQnV6g7VBs9j8TSdx7;4725587;1645468479;1645494421;
B99Aiyw7nyPy7JaiDy122xeiYRN8Yk5WJ2kyXJ6fTDK4;FWx8egXsZU1hiFx2zmSExe8w3Du2G5rWhi6oJN26TZrz;21860738;1645216012;1652535929;
BHWYUjir4Bns7u1D7zTvaB1pcoyg5PtX86WmuecMVhVW;9RuzupFu5Lwh1kfdhfFUzX2725iq67Nw7GyUUk2K4cHX;5386752;1649680554;1654525878;
7Kf6xEXKfazhaa4zZZA3VSCBU2V9ziMAButri3HFzqyN;98HFKSi1RoEPUKRrqMgdPU65ZYDPR8Y2SGrkijszkaFB;1081838;1645267740;1645428741;
4bBjiEVx8rtsGnXQs8cyZVgUYFgmfooA1YFvsHBaegXd;7A9FCEkkwvbVoKcyYQDZoZ1qUBrippSnBLnpu15y9bTL;45616046;1649330477;1649381181;
AHoBzUvNH176RWEaocgrR8pZaVK4CyfT2uEbkwStcZNe;3HyS5d6W5AVqxp8RtdZq2cMBMoqV4oHLDXecWGXxUV2G;432760;1651001202;1651053329;
3Rqfoph8ZaG6wV5QjBFowZj5YomG1sX6zPA3f6gPSFnR;FV2FRhQU3R4m347KeDSYk1JPuc1jbLi17wwe6PqPdDvv;23384665;1646705460;1646788307;
HWmxk6fApT93KWe8er1ytzkNTLFFWrdz59CJ4Gcxgddk;8TjMzdWmzD9EYERB3g4qktnYceAEfPM6GbcDr3vYS4kn;2388861;1645253095;1648470251;
3CJ81nqEMmo52rYWzkUX87bAk57FzJrHfVN3o8SyeURn;EjtXDpcDxi3uBJSQiEQu1JuZYv3URXAKwgx1Vhdws1yp;4554475;1646324105;1646432504;
